id,loss
1,0.0
2,0.0
5,0.0
10,0.0
11,0.0
13,0.0
14,0.0
20,0.0
23,0.0
24,0.0
25,0.0
33,0.0
34,0.0
41,0.0
47,0.0
48,0.0
49,0.0
51,0.0
52,0.0
55,0.0
57,0.0
60,0.0
61,0.0
66,0.0
73,0.0
76,0.0
86,0.0
89,0.0
90,0.0
93,0.0
100,0.0
105,0.0
107,0.0
111,0.0
112,0.0
116,0.0
118,0.0
125,0.0
130,0.0
139,0.0
140,0.0
144,0.0
146,0.0
149,0.0
153,0.0
156,0.0
162,0.0
166,0.0
167,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
186,0.0
191,0.0
197,0.0
200,0.0
202,0.0
205,0.0
207,0.0
208,0.0
212,0.0
215,0.0
218,0.0
222,0.0
223,0.0
225,0.0
226,0.0
228,0.0
232,0.0
233,0.0
237,0.0
244,0.0
245,0.0
248,0.0
259,0.0
260,0.0
276,0.0
277,0.0
285,0.0
289,0.0
291,0.0
292,0.0
293,0.0
298,0.0
306,0.0
308,0.0
316,0.0
318,0.0
319,0.0
320,0.0
322,0.0
324,0.0
325,0.0
327,0.0
333,0.0
335,0.0
337,0.0
343,0.0
351,0.0
354,0.0
383,0.0
386,0.0
388,0.0
393,0.0
401,0.0
402,0.0
404,0.0
406,0.0
409,0.0
412,0.0
414,0.0
418,0.0
422,0.0
424,0.0
427,0.0
430,0.0
433,0.0
435,0.0
437,0.0
439,0.0
440,0.0
442,0.0
443,0.0
449,0.0
450,0.0
451,0.0
454,0.0
458,0.0
474,0.0
476,0.0
478,0.0
481,0.0
484,0.0
488,0.0
493,0.0
499,0.0
502,0.0
511,0.0
516,0.0
517,0.0
522,0.0
526,0.0
527,0.0
534,0.0
536,0.0
538,0.0
540,0.0
542,0.0
550,0.0
552,0.0
560,0.0
561,0.0
562,0.0
563,0.0
567,0.0
568,0.0
572,0.0
576,0.0
577,0.0
578,0.0
584,0.0
586,0.0
590,0.0
592,0.0
596,0.0
598,0.0
599,0.0
603,0.0
605,0.0
606,0.0
607,0.0
608,0.0
610,0.0
611,0.0
612,0.0
614,0.0
617,0.0
621,0.0
625,0.0
626,0.0
627,0.0
630,0.0
632,0.0
640,0.0
644,0.0
650,0.0
653,0.0
657,0.0
658,0.0
663,0.0
667,0.0
670,0.0
674,0.0
677,0.0
679,0.0
681,0.0
685,0.0
687,0.0
691,0.0
693,0.0
699,0.0
700,0.0
702,0.0
711,0.0
714,0.0
716,0.0
720,0.0
724,0.0
727,0.0
732,0.0
738,0.0
740,0.0
743,0.0
752,0.0
754,0.0
756,0.0
762,0.0
764,0.0
766,0.0
772,0.0
780,0.0
781,0.0
784,0.0
786,0.0
787,0.0
789,0.0
793,0.0
797,0.0
803,0.0
804,0.0
806,0.0
810,0.0
811,0.0
813,0.0
814,0.0
819,0.0
821,0.0
824,0.0
827,0.0
829,0.0
835,0.0
836,0.0
837,0.0
843,0.0
848,0.0
