id,loss
4,1496.51845703
6,1986.76791992
9,9234.84355469
12,6052.84638672
15,818.890661621
17,2363.23925781
21,2100.11254883
28,856.592138672
32,2447.49985352
43,3094.93071289
46,2903.12617188
50,948.136767578
54,1195.36748047
62,1915.29018555
70,2358.29384766
71,4872.51572266
75,2113.18286133
77,2323.42998047
81,2579.64980469
83,2387.64731445
87,1970.03798828
97,1553.98408203
103,1181.93266602
119,1110.55085449
120,1877.51958008
127,977.149072266
138,4313.27890625
141,3831.10058594
148,688.702905273
150,2458.31821289
151,2177.80610352
158,1589.93745117
160,5444.37861328
165,2749.14399414
168,3759.41518555
169,3792.73271484
177,2744.021875
178,3002.17788086
184,2099.44086914
194,9661.23203125
198,1828.42380371
203,3544.61357422
211,2443.11669922
217,1253.91542969
219,1344.98286133
221,4713.30537109
227,1787.3378418
230,1576.8142334
235,2103.77773437
240,690.858435059
243,3079.14453125
249,7312.73076172
253,2864.16347656
258,1492.64145508
261,1649.10700684
263,3473.12851563
264,2582.60234375
265,4232.22714844
268,1796.27719727
271,1048.58027344
274,5780.08398438
275,678.093029785
279,1464.90334473
282,1673.33554688
286,3226.24912109
288,1090.80686035
294,2090.69570312
296,1001.4052002
297,1335.76064453
300,821.472753906
303,8498.5109375
314,1095.56364746
315,4434.43945312
321,2550.13017578
323,4061.98417969
330,3651.78173828
341,1873.07373047
342,4314.20703125
352,1550.14899902
353,3567.40039062
360,4893.04882812
361,2201.76240234
362,4271.69023437
366,1356.32373047
372,3446.97875977
376,2682.12319336
377,2323.90576172
379,1611.54338379
380,3859.44375
387,1835.59975586
392,2088.35537109
394,10968.4041016
395,1558.75644531
397,1475.39025879
407,5746.85908203
411,8871.46347656
416,2589.94692383
417,1560.66618652
419,3867.10522461
428,5602.05126953
431,1739.96774902
436,7863.82666016
438,1615.45766602
445,6640.79667969
446,6961.66816406
455,1258.19631348
456,1363.21916504
461,917.063012695
463,1918.95229492
464,3761.72036133
466,1683.77719727
467,1360.85754395
470,1261.84550781
475,1467.17685547
482,3234.83305664
490,3534.66176758
496,1790.84465332
497,4198.60517578
508,2791.72958984
510,1861.74938965
512,1897.51589355
513,3417.440625
523,1779.23825684
531,4740.71904297
532,2358.22836914
533,1370.77287598
537,1182.30947266
544,4461.52431641
547,2555.621875
556,7884.13388672
565,1352.61828613
566,1211.26530762
571,1435.16733398
573,1711.67971191
574,945.271289063
581,2128.03535156
585,1950.24853516
589,1984.95991211
597,1650.67038574
601,3668.85722656
602,1790.78527832
613,1555.15180664
616,1501.84255371
619,2205.78955078
622,2061.66464844
623,1926.36669922
629,1583.57263184
634,1591.17709961
638,977.367504883
642,1116.34050293
643,2057.7612793
645,975.230737305
648,6604.08769531
652,1213.33447266
664,1067.72695312
666,2252.90205078
672,877.429736328
676,2197.54848633
678,4239.21816406
682,1895.65454102
686,2840.18955078
688,2224.86074219
689,1262.7088623
690,1801.10512695
692,11549.9458984
695,1669.60117188
697,4073.15771484
698,2109.96328125
706,2596.38237305
708,1463.54763184
712,2895.64067383
715,4325.71455078
717,1347.71540527
725,3230.65913086
729,1119.23093262
737,1447.68139648
739,5474.87441406
747,3417.23320312
753,2760.82441406
758,2150.05761719
759,2147.5456543
763,1433.2369873
